1214 casos encontrados en 3.1s
[100/1214] 10.0 casos/s  ETA 1.9 min
[200/1214] 10.9 casos/s  ETA 1.5 min
[300/1214] 11.3 casos/s  ETA 1.3 min
[400/1214] 11.3 casos/s  ETA 1.2 min
[500/1214] 11.3 casos/s  ETA 1.1 min
[600/1214] 11.3 casos/s  ETA 0.9 min
[700/1214] 11.3 casos/s  ETA 0.8 min
[800/1214] 11.4 casos/s  ETA 0.6 min
[900/1214] 11.4 casos/s  ETA 0.5 min
[1000/1214] 11.4 casos/s  ETA 0.3 min
[1100/1214] 11.4 casos/s  ETA 0.2 min
[1200/1214] 11.5 casos/s  ETA 0.0 min
TERMINADO: 1214 ok, 0 fallidos, 105.5s
